City,Temp,Pressure,Humidity,Wind,Clouds,Lat,Long,Count
hobart,3.44,1040.0,93.0,2.6,75.0,-42.88,147.33,1.0
san carlos de bariloche,6,1022.0,52.0,5.7,20.0,-41.13,-71.31,2.0
atuona,26.65,1012.81,68.0,3.64,30.0,-9.8,-139.03,3.0
mersing,24.15,1010.34,94.0,0.74,0.0,2.43,103.84,4.0
upernavik,5.85,1023.16,70.0,4.71,0.0,72.79,-56.15,5.0
ushuaia,-1.91,1014.0,86.0,1.5,0.0,-54.81,-68.31,6.0
porto,21.48,1015.0,82.0,2.1,0.0,41.15,-8.61,7.0
qianan,22.65,994.76,68.0,5.62,81.0,44.99,124.06,8.0
mar del plata,2.45,1022.76,59.0,5.12,0.0,-46.43,-67.52,9.0
havoysund,7.5,998.0,87.0,3.1,75.0,71.0,24.66,10.0
kapaa,26.21,1014.0,74.0,1.5,75.0,22.08,-159.32,11.0
cherskiy,9.95,1009.95,60.0,2.45,99.0,68.75,161.3,12.0
ilulissat,11,1021.0,50.0,2.1,40.0,69.22,-51.1,13.0
marquette,28.73,1014.0,54.0,7.2,90.0,46.54,-87.4,14.0
geraldton,21,1012.0,94.0,2.1,75.0,49.72,-86.95,15.0
tiksi,1.95,1005.09,90.0,2.33,100.0,71.64,128.87,16.0
pisco,19.88,1014.0,30.0,3.1,90.0,-13.71,-76.2,17.0
michigan city,30.55,1016.0,28.0,4.1,40.0,41.71,-86.9,18.0
nikolskoye,14.79,1005.0,54.0,5.0,20.0,59.7,30.79,19.0
okhotsk,8.45,1009.49,97.0,4.33,100.0,59.36,143.24,20.0
busselton,9.04,1004.0,98.0,12.79,78.0,-33.64,115.35,21.0
atchison,24.47,1014.0,88.0,2.6,90.0,39.56,-95.12,22.0
qaanaaq,5.95,1024.15,58.0,1.56,96.0,77.48,-69.36,23.0
jamestown,9.85,1029.48,80.0,5.62,0.0,-33.21,138.6,24.0
bethel,10.76,1027.0,100.0,0.96,90.0,60.79,-161.76,25.0
alofi,23,1017.0,73.0,5.7,9.0,-19.06,-169.92,26.0
mataura,5,1031.0,95.0,0.89,60.0,-46.19,168.86,27.0
sao filipe,23.25,1012.5,85.0,9.06,92.0,14.9,-24.5,28.0
lorengau,25.55,1009.62,81.0,1.2,68.0,-2.02,147.27,29.0
carnarvon,10.75,1020.37,24.0,3.83,1.0,-30.97,22.13,30.0
cape town,15.24,1021.0,72.0,9.8,75.0,-33.93,18.42,31.0
aranos,11.45,1019.33,45.0,1.76,0.0,-24.14,19.11,32.0
airai,18.05,1014.41,79.0,2.38,0.0,-8.93,125.41,33.0
bredasdorp,15.44,1019.0,55.0,6.7,100.0,-34.53,20.04,34.0
new norfolk,3.44,1040.0,93.0,2.6,75.0,-42.78,147.06,35.0
albany,31.1,1018.0,40.0,1.5,75.0,42.65,-73.75,36.0
hithadhoo,29.15,1010.76,77.0,5.54,100.0,-0.6,73.08,37.0
itarema,29.75,1010.34,63.0,5.13,14.0,-2.92,-39.92,38.0
bluff,15.15,1022.22,85.0,8.57,100.0,-23.58,149.07,39.0
hilo,23.31,1014.0,88.0,3.1,90.0,19.71,-155.08,40.0
vila,28.87,1016.0,45.0,2.1,20.0,45.18,8.4,41.0
hickory,32.07,1017.0,52.0,3.1,1.0,35.73,-81.34,42.0
khatanga,10.65,1008.48,63.0,5.86,100.0,71.98,102.47,43.0
coquimbo,20.16,1014.0,67.0,5.7,0.0,-29.95,-71.34,44.0
agdas,22,1012.0,73.0,1.87,1.0,40.65,47.48,45.0
celestun,27.35,1014.15,83.0,7.46,0.0,20.87,-90.4,46.0
sitka,32.78,1005.0,49.0,7.15,0.0,37.17,-99.65,47.0
hami,29.25,1004.86,22.0,16.27,46.0,42.84,93.51,48.0
port elizabeth,30.96,1017.0,59.0,5.1,1.0,39.31,-74.98,49.0
port hardy,13,1018.0,87.0,1.5,90.0,50.7,-127.42,50.0
brigantine,29.68,1018.0,62.0,4.6,1.0,39.41,-74.36,51.0
lake havasu city,34.96,1009.0,11.0,6.2,1.0,34.47,-114.34,52.0
nyuksenitsa,12.15,993.52,96.0,1.7,98.0,60.41,44.24,53.0
burns lake,10.65,1016.9,93.0,1.69,100.0,54.23,-125.76,54.0
yining,22.75,1003.31,96.0,0.53,100.0,29.04,114.56,55.0
norman wells,20,1020.0,52.0,4.1,75.0,65.28,-126.83,56.0
rikitea,19.35,1021.49,67.0,10.85,66.0,-23.12,-134.97,57.0
neuquen,6,1025.0,81.0,1.0,75.0,-38.95,-68.06,58.0
tasiilaq,12,1022.0,54.0,3.1,5.0,65.61,-37.64,59.0
porto novo,18,1013.0,93.0,2.6,90.0,-23.68,-45.44,60.0
dole,28.01,1017.0,39.0,4.6,0.0,47.09,5.49,61.0
lompoc,18.52,1016.0,82.0,5.1,90.0,34.64,-120.46,62.0
vaini,25.95,1007.17,87.0,3.1,100.0,15.34,74.49,63.0
shingu,18.05,1004.61,95.0,1.78,92.0,33.72,135.99,64.0
punta arenas,0.85,1017.0,86.0,5.1,75.0,-53.16,-70.91,65.0
puerto ayora,24.16,1012.0,57.0,7.7,20.0,-0.74,-90.35,66.0
castro,8,1027.0,81.0,2.1,75.0,-42.48,-73.76,67.0
svetlogorsk,18,1006.0,68.0,3.0,75.0,53.14,59.15,68.0
faya,21.51,1022.0,73.0,1.5,0.0,18.39,42.45,69.0
caiaponia,28.85,1010.38,36.0,5.82,40.0,-16.96,-51.81,70.0
barrow,6.45,1020.05,65.0,8.99,93.0,-38.31,-60.23,71.0
verkhovazhye,13.35,993.17,94.0,3.58,100.0,60.75,42.05,72.0
vila velha,29.02,1012.0,58.0,7.7,0.0,-3.71,-38.6,73.0
dikson,1.55,1016.83,94.0,6.38,98.0,73.51,80.55,74.0
hastings,6.75,1015.07,94.0,4.41,100.0,-39.64,176.84,75.0
khryashchevka,19,1006.0,45.0,5.0,20.0,53.81,49.09,76.0
buraydah,38,1008.0,17.0,2.6,0.0,26.33,43.97,77.0
seddon,3.6,1035.0,100.0,1.0,0.0,-37.81,144.89,78.0
eyl,26.65,1008.63,58.0,10.52,18.0,7.98,49.82,79.0
tuktoyaktuk,11,1018.0,81.0,10.3,75.0,69.44,-133.03,80.0
saint george,29.88,1013.0,30.0,2.6,40.0,39.45,22.34,81.0
ludvika,8.83,1000.0,93.0,2.1,100.0,60.15,15.18,82.0
beian,9.95,1009.0,71.0,6.7,75.0,63.66,9.57,83.0
baie-comeau,26.57,1014.0,47.0,6.2,1.0,49.22,-68.15,84.0
mahebourg,21.13,1020.0,78.0,3.1,40.0,-20.41,57.7,85.0
trincomalee,27.25,1008.68,71.0,4.28,90.0,8.58,81.23,86.0
klichka,9.35,1004.73,57.0,4.6,74.0,50.44,118.0,87.0
port alfred,13.89,1016.0,91.0,1.34,0.0,-33.59,26.89,88.0
bitung,23,1012.0,100.0,1.0,40.0,1.44,125.19,89.0
phalombe,12.85,1021.54,83.0,2.48,0.0,-15.81,35.65,90.0
lamu,12.85,1011.03,56.0,0.59,7.0,35.77,102.37,91.0
entebbe,18.95,1012.86,82.0,1.69,0.0,0.06,32.45,92.0
ponta do sol,22.95,1012.12,49.0,4.96,54.0,-20.63,-46.0,93.0
cuneo,26.4,1017.0,54.0,2.1,20.0,44.39,7.55,94.0
maragogi,26.45,1012.89,81.0,3.12,50.0,-9.01,-35.22,95.0
saskylakh,8.75,1002.75,86.0,5.03,77.0,71.97,114.09,96.0
arraial do cabo,23.29,1012.0,94.0,7.7,75.0,-22.97,-42.02,97.0
aklavik,13.43,1021.0,93.0,4.1,90.0,68.22,-135.01,98.0
erenhot,20.55,997.29,61.0,3.31,83.0,43.65,111.97,99.0
sergeyevka,16.05,1004.46,88.0,4.97,25.0,53.88,67.42,100.0
morrope,19,1012.0,29.0,3.1,40.0,-6.54,-80.02,101.0
mogzon,7.95,1010.95,75.0,0.58,4.0,51.74,111.97,102.0
cayenne,30,1012.0,66.0,5.7,3.0,4.94,-52.33,103.0
storsteinnes,9.17,1001.0,87.0,1.53,75.0,69.24,19.23,104.0
mehamn,8.67,998.0,81.0,3.1,75.0,71.03,27.85,105.0
port-gentil,23,1013.0,94.0,3.6,75.0,-0.72,8.78,106.0
aci castello,28.91,1015.0,58.0,4.1,20.0,37.55,15.15,107.0
rancharia,22,1011.0,83.0,3.6,90.0,-22.23,-50.89,108.0
rio gallegos,2,1018.0,59.0,3.1,75.0,-51.62,-69.22,109.0
namie,17.59,1006.0,65.0,0.89,61.0,37.52,140.86,110.0
narsaq,18,1020.0,36.0,4.1,20.0,60.91,-46.05,111.0
jumla,13.65,1008.06,97.0,1.12,100.0,29.28,82.18,112.0
talara,17,1012.0,290.0,8.2,0.0,-4.58,-81.27,113.0
bulungu,27.75,1008.53,32.0,1.18,85.0,-4.54,18.6,114.0
harper,27.79,1016.0,83.0,3.6,90.0,30.3,-99.24,115.0
sambava,20.05,1019.31,88.0,0.96,90.0,-14.27,50.17,116.0
moosomin,19.95,1014.12,59.0,4.03,5.0,50.14,-101.67,117.0
mutis,27.45,1008.6,79.0,4.62,40.0,6.23,-77.4,118.0
esperance,12,1005.0,100.0,3.6,90.0,-33.86,121.89,119.0
paamiut,6.95,1022.32,77.0,1.64,56.0,61.99,-49.67,120.0
cullera,28.38,1015.0,40.0,4.1,0.0,39.16,-0.25,121.0
taksimo,6.15,1013.0,65.0,1.41,27.0,56.36,114.84,122.0
rundu,19,1024.0,29.0,1.5,6.0,-17.91,19.77,123.0
saint-joseph,27.38,1015.0,61.0,1.5,0.0,43.56,6.97,124.0
thompson,12,1007.0,87.0,5.7,90.0,55.74,-97.86,125.0
butaritari,28.65,1008.47,70.0,2.99,70.0,3.07,172.79,126.0
east london,13,1017.0,93.0,4.1,0.0,-33.02,27.91,127.0
te anau,3.05,1029.52,84.0,1.68,65.0,-45.41,167.72,128.0
luderitz,14,1021.0,87.0,7.7,0.0,-26.65,15.16,129.0
acapulco,30,1012.0,74.0,2.1,90.0,16.86,-99.88,130.0
kavieng,28.85,1009.35,69.0,3.87,100.0,-2.57,150.8,131.0
progreso,8.44,1018.0,65.0,8.2,75.0,-34.68,-56.22,132.0
maldonado,9,1015.0,66.0,11.3,75.0,-34.91,-54.96,133.0
tuatapere,5,1031.0,95.0,0.89,61.0,-46.13,167.69,134.0
atikokan,25.45,1011.03,55.0,1.66,100.0,48.76,-91.62,135.0
sabzevar,26.55,1009.09,14.0,3.18,0.0,36.21,57.68,136.0
ahuimanu,25.87,1013.0,88.0,2.1,75.0,21.44,-157.84,137.0
marawi,23.89,1011.0,92.0,0.89,100.0,8.0,124.29,138.0
constitucion,24.79,1026.0,27.0,2.1,20.0,23.99,-104.67,139.0
mirnyy,9.65,1008.25,81.0,1.93,41.0,56.57,36.46,140.0
pacific grove,17.65,1016.0,72.0,4.1,90.0,36.62,-121.92,141.0
kisangani,25.35,1009.2,66.0,0.65,26.0,0.52,25.21,142.0
calvinia,8.15,1022.7,84.0,1.24,24.0,-31.47,19.78,143.0
taoudenni,45.05,1004.52,8.0,7.55,45.0,22.68,-3.98,144.0
nome,32.01,1018.0,75.0,4.1,1.0,30.04,-94.42,145.0
buzmeyin,28,1008.0,26.0,3.71,20.0,38.05,58.21,146.0
ponta delgada,18,1023.0,93.0,3.6,75.0,37.73,-25.67,147.0
chokurdakh,7.35,1008.57,77.0,2.3,45.0,70.62,147.9,148.0
ribeira grande,24,1023.0,60.0,2.1,20.0,38.52,-28.7,149.0
yar-sale,19.65,1002.95,64.0,8.34,83.0,66.83,70.83,150.0
fortuna,17.69,1017.0,93.0,3.6,90.0,40.6,-124.16,151.0
dom pedrito,11,1017.0,53.0,3.1,0.0,-30.98,-54.67,152.0
manokwari,22.75,1010.96,79.0,2.12,100.0,-0.87,134.08,153.0
mount isa,15,1019.0,47.0,1.5,40.0,-20.73,139.49,154.0
riyadh,37,1006.0,8.0,4.1,0.0,24.63,46.72,155.0
kudahuvadhoo,28.65,1011.32,75.0,2.62,95.0,2.67,72.89,156.0
saint-philippe,31.85,1017.0,40.0,5.7,1.0,45.36,-73.48,157.0
vyazemskiy,15.25,1004.46,94.0,2.44,28.0,47.53,134.76,158.0
mumford,23.85,1011.58,91.0,2.84,100.0,5.26,-0.76,159.0
klyuchi,18.45,1005.18,67.0,3.33,17.0,52.25,79.17,160.0
lengshuijiang,22.15,1004.36,98.0,0.2,100.0,27.66,111.45,161.0
iqaluit,7.88,1015.0,70.0,8.7,40.0,63.75,-68.52,162.0
belmonte,23.87,1012.0,38.0,3.9,64.0,40.36,-7.35,163.0
diapaga,28.25,1008.8,65.0,3.46,100.0,12.07,1.79,164.0
husavik,25.31,1015.0,25.0,1.34,7.0,50.56,-96.99,165.0
shemonaikha,19.95,1008.02,51.0,4.82,48.0,50.63,81.92,166.0
westport,31.43,1018.0,48.0,2.6,1.0,41.14,-73.36,167.0
nantucket,27.1,1019.0,78.0,4.1,1.0,41.28,-70.1,168.0
klaksvik,9,1014.0,100.0,6.2,100.0,62.23,-6.59,169.0
gat,26,1011.0,69.0,6.7,20.0,14.69,-16.54,170.0
sola,22.25,1011.88,39.0,2.11,41.0,-3.17,33.8,171.0
mandla,25.15,997.49,90.0,2.41,100.0,22.6,80.37,172.0
sabang,22.65,1010.41,91.0,0.42,22.0,13.8,121.11,173.0
hobyo,25.55,1010.36,74.0,12.36,100.0,5.35,48.53,174.0
kodiak,25.24,1014.0,50.0,4.1,1.0,39.95,-94.76,175.0
antalaha,17.65,1019.78,97.0,1.17,97.0,-14.9,50.28,176.0
sur,29.65,998.37,63.0,6.25,4.0,22.57,59.53,177.0
rosario do sul,11.35,1018.6,56.0,4.23,94.0,-30.26,-54.91,178.0
torbay,10.9,1011.0,100.0,1.5,90.0,47.66,-52.73,179.0
grandview,24.17,1015.0,88.0,5.1,90.0,38.89,-94.53,180.0
berlevag,9,998.0,81.0,3.1,75.0,70.86,29.09,181.0
waingapu,18.65,1013.95,90.0,3.45,5.0,-9.65,120.26,182.0
puerto escondido,31,1012.0,66.0,3.1,90.0,15.86,-97.07,183.0
kupang,23.15,1014.04,73.0,5.94,0.0,-10.16,123.6,184.0
pedernales,24.45,1010.01,88.0,7.79,100.0,0.07,-80.05,185.0
veydelevka,14.05,1015.82,76.0,2.81,7.0,50.15,38.45,186.0
port lincoln,13.75,1027.32,73.0,9.28,0.0,-34.72,135.86,187.0
hermanus,14.2,1017.0,91.0,4.92,100.0,-34.42,19.24,188.0
portree,12.78,1018.0,96.0,4.47,100.0,57.41,-6.19,189.0
kruisfontein,10.95,1017.01,88.0,3.27,17.0,-34.0,24.73,190.0
khani,23,1014.0,88.0,3.1,75.0,41.96,42.96,191.0
beloha,18.05,1021.52,87.0,3.03,46.0,-25.17,45.06,192.0
makakilo city,25.78,1014.0,78.0,1.65,1.0,21.35,-158.09,193.0
morant bay,31,1013.0,55.0,10.8,20.0,17.88,-76.41,194.0
houston,32.18,1016.0,55.0,2.6,40.0,29.76,-95.37,195.0
longyearbyen,10,1018.0,61.0,10.8,40.0,78.22,15.63,196.0
taywarah,18.95,1004.4,27.0,3.39,0.0,33.35,64.42,197.0
yellowknife,20,1021.0,40.0,2.6,20.0,62.45,-114.38,198.0
pevek,0.75,1012.24,98.0,3.47,97.0,69.7,170.27,199.0
dingle,23.55,1010.61,82.0,1.11,25.0,11.0,122.67,200.0
thayetmyo,25.05,1004.25,90.0,2.7,90.0,19.32,95.18,201.0
merauke,24.75,1013.01,80.0,8.33,83.0,-8.49,140.4,202.0
isangel,23.55,1014.88,76.0,4.31,0.0,-19.55,169.27,203.0
atar,45,1009.0,21.0,8.2,0.0,20.52,-13.05,204.0
cabo san lucas,29.62,1014.0,55.0,2.1,5.0,22.89,-109.91,205.0
poum,26,1018.0,50.0,2.6,20.0,41.28,20.71,206.0
marsa matruh,27,1012.0,74.0,5.7,40.0,31.35,27.25,207.0
kumo,25.35,1009.33,73.0,1.28,83.0,10.05,11.21,208.0
takoradi,24.35,1011.85,88.0,2.82,99.0,4.89,-1.75,209.0
rio branco,32,1011.0,55.0,4.1,40.0,-9.98,-67.82,210.0
parsons,29.06,1015.0,78.0,3.1,90.0,37.34,-95.26,211.0
bafut,17.65,1012.52,99.0,0.74,100.0,6.09,10.11,212.0
georgetown,31.06,1012.0,74.0,6.2,75.0,6.8,-58.16,213.0
arti,13.85,1003.06,92.0,4.24,0.0,56.43,58.53,214.0
abha,21.52,1022.0,73.0,1.5,0.0,18.22,42.5,215.0
markova,14.56,1012.0,71.0,1.7,0.0,52.21,104.21,216.0
arona,27.61,1016.0,45.0,2.1,20.0,45.76,8.56,217.0
sijunjung,19.75,1011.66,97.0,0.47,99.0,-0.69,100.95,218.0
katsuura,21.78,1004.0,94.0,1.5,20.0,33.93,134.5,219.0
lavrentiya,9.95,1019.49,82.0,4.6,92.0,65.58,-170.99,220.0
ergani,27.51,1010.0,38.0,2.6,20.0,38.27,39.76,221.0
lyngseidet,9,1001.0,87.0,4.96,75.0,69.58,20.21,222.0
bandarbeyla,27.55,1006.87,54.0,11.07,9.0,9.49,50.81,223.0
lagoa,21.09,1016.0,73.0,5.7,20.0,37.14,-8.45,224.0
delano,27.79,1013.0,27.0,3.7,1.0,35.77,-119.25,225.0
dryden,22,1013.0,56.0,3.1,20.0,49.79,-92.84,226.0
padang,28.35,1011.41,81.0,4.33,83.0,-0.92,100.36,227.0
moussoro,33.85,1005.37,38.0,6.6,48.0,13.64,16.49,228.0
la ronge,14,1013.0,71.0,10.3,90.0,55.1,-105.3,229.0
promyshlennaya,16,1007.0,100.0,3.0,0.0,54.92,85.64,230.0
fort nelson,18,1022.0,52.0,1.5,75.0,58.81,-122.69,231.0
nanortalik,6.45,1021.74,72.0,2.62,2.0,60.14,-45.24,232.0
manono,25.05,1011.61,33.0,2.49,6.0,-7.3,27.4,233.0
ofaqim,25.45,1008.0,71.0,0.45,0.0,31.31,34.62,234.0
champerico,31,1014.0,40.0,2.1,20.0,16.38,-93.6,235.0
terrace,16,1018.0,82.0,0.93,75.0,54.52,-128.61,236.0
kaitangata,6.11,1027.0,78.0,1.79,87.0,-46.28,169.85,237.0
haines junction,18.55,1021.99,50.0,2.03,5.0,60.75,-137.51,238.0
vostok,12.55,1005.89,96.0,0.98,30.0,46.45,135.83,239.0
kidal,41.25,1005.37,11.0,4.69,52.0,18.44,1.41,240.0
rolla,31.1,1016.0,58.0,3.6,20.0,37.95,-91.77,241.0
namibe,21.45,1012.55,74.0,4.81,0.0,-15.19,12.15,242.0
ariquemes,34.75,1009.16,35.0,1.52,0.0,-9.91,-63.03,243.0
cidreira,11.65,1016.36,51.0,6.36,42.0,-30.17,-50.22,244.0
lebu,15,1026.0,87.0,1.0,75.0,8.96,38.73,245.0
pascagoula,33.54,1018.0,47.0,1.5,75.0,30.37,-88.56,246.0
mount gambier,5,1032.0,93.0,2.6,2.0,-37.83,140.78,247.0
lulea,14,1000.0,71.0,1.46,75.0,65.58,22.15,248.0
smithers,16,1018.0,82.0,1.0,90.0,54.78,-127.17,249.0
alghero,30,1015.0,58.0,4.6,0.0,40.56,8.32,250.0
udachnyy,14,1001.0,82.0,2.0,90.0,66.42,112.4,251.0
algiers,33.02,1019.0,62.0,2.6,75.0,29.94,-90.04,252.0
grand gaube,21.28,1020.0,78.0,3.1,40.0,-20.01,57.66,253.0
porto nacional,34,1011.0,34.0,2.6,20.0,-10.7,-48.41,254.0
santa lucia,28.25,1015.0,35.0,3.6,0.0,41.98,12.66,255.0
ixtapa,31.06,1012.0,33.0,4.6,5.0,20.71,-105.21,256.0
vardo,31.13,1017.0,70.0,3.6,90.0,39.62,-77.74,257.0
severo-kurilsk,5.65,1013.04,97.0,4.96,99.0,50.68,156.12,258.0
mukhen,15.15,1004.63,97.0,1.98,63.0,48.19,136.14,259.0
sohag,37,1005.0,14.0,8.7,0.0,26.55,31.7,260.0
kalmunai,26.25,1009.24,75.0,1.62,90.0,7.42,81.82,261.0
damghan,16.55,1009.71,80.0,1.48,0.0,36.17,54.34,262.0
sakaiminato,21,1005.0,88.0,3.1,75.0,35.55,133.23,263.0
the valley,30.68,1017.0,62.0,7.7,40.0,18.22,-63.06,264.0
lakes entrance,4.73,1035.0,96.0,1.85,42.0,-37.88,147.99,265.0
yaan,25.65,1010.6,92.0,1.95,96.0,7.38,8.57,266.0
bay roberts,10.89,1011.0,82.0,1.5,90.0,47.58,-53.28,267.0
obidos,21.69,1015.0,56.0,3.1,20.0,39.36,-9.16,268.0
